iter	Passed	Remaining
0	53	53166
1	57	28476
2	60	20219
3	64	15953
4	67	13388
5	70	11667
6	73	10439
7	76	9499
8	79	8778
9	82	8213
10	86	7741
11	89	7352
12	92	7019
13	95	6731
14	98	6483
15	102	6280
16	105	6095
17	108	5928
18	111	5777
19	115	5641
20	118	5525
21	121	5415
22	125	5313
23	128	5224
24	131	5136
25	134	5054
26	138	4977
27	141	4911
28	144	4846
29	147	4784
30	151	4726
31	154	4684
32	158	4633
33	161	4583
34	164	4536
35	167	4494
36	171	4453
37	174	4416
38	177	4379
39	180	4341
40	184	4306
41	187	4275
42	190	4243
43	194	4215
44	198	4212
45	201	4183
46	205	4158
47	209	4147
48	212	4122
49	215	4099
50	219	4085
51	222	4061
52	225	4038
53	232	4065
54	235	4052
55	239	4030
56	242	4010
57	245	3990
58	249	3983
59	253	3967
60	256	3948
61	259	3929
62	263	3922
63	266	3903
64	270	3887
65	273	3872
66	276	3856
67	280	3840
68	283	3824
69	286	3809
70	289	3794
71	293	3778
72	296	3764
73	299	3751
74	303	3737
75	306	3725
76	309	3712
77	313	3702
78	316	3689
79	319	3676
80	322	3663
81	326	3651
82	329	3639
83	332	3626
84	335	3614
85	339	3603
86	342	3592
87	346	3595
88	350	3590
89	354	3579
90	357	3569
91	360	3560
92	364	3552
93	367	3541
94	370	3531
95	373	3521
96	377	3511
97	380	3501
98	383	3491
99	386	3482
100	390	3472
101	393	3464
102	397	3464
103	401	3456
104	404	3447
105	408	3442
106	411	3434
107	414	3424
108	417	3415
109	421	3410
110	425	3410
111	429	3402
112	432	3393
113	435	3385
114	438	3377
115	442	3368
116	445	3361
117	449	3356
118	452	3348
119	455	3340
120	458	3332
121	461	3324
122	465	3315
123	468	3308
124	471	3300
125	474	3292
126	477	3284
127	481	3277
128	484	3270
129	487	3263
130	490	3256
131	494	3249
132	497	3241
133	500	3234
134	503	3227
135	506	3220
136	510	3214
137	513	3206
138	516	3199
139	519	3192
140	522	3186
141	526	3178
142	529	3171
143	532	3164
144	535	3156
145	538	3149
146	541	3143
147	544	3136
148	548	3132
149	551	3126
150	554	3120
151	558	3115
152	561	3109
153	564	3102
154	567	3095
155	570	3089
156	574	3083
157	577	3077
158	580	3071
159	585	3074
160	590	3076
161	601	3111
162	621	3188
163	630	3216
164	641	3245
165	646	3247
166	656	3275
167	670	3318
168	676	3324
169	688	3363
170	697	3380
171	708	3409
172	718	3434
173	726	3447
174	748	3526
175	758	3553
176	777	3615
177	786	3630
178	796	3653
179	810	3691
180	819	3707
181	830	3734
182	841	3756
183	849	3769
184	862	3801
185	873	3823
186	880	3829
187	891	3850
188	896	3847
189	907	3867
190	917	3888
191	928	3906
192	933	3903
193	943	3921
194	954	3939
195	965	3959
196	975	3976
197	987	3999
198	992	3995
199	1003	4012
200	1015	4036
201	1027	4060
202	1037	4073
203	1046	4085
204	1060	4110
205	1069	4123
206	1077	4128
207	1087	4139
208	1098	4157
209	1109	4172
210	1169	4374
211	1200	4463
212	1212	4478
213	1228	4513
214	1243	4539
215	1251	4543
216	1262	4556
217	1276	4577
218	1281	4569
219	1293	4587
220	1300	4583
221	1303	4566
222	1315	4585
223	1326	4595
224	1335	4598
225	1345	4607
226	1353	4608
227	1366	4627
228	1377	4637
229	1391	4657
230	1403	4671
231	1409	4665
232	1422	4683
233	1430	4682
234	1440	4690
235	1448	4689
236	1456	4688
237	1465	4693
238	1468	4675
239	1480	4686
240	1490	4694
241	1497	4689
242	1507	4696
243	1518	4704
244	1523	4694
245	1535	4707
246	1546	4714
247	1551	4704
248	1561	4708
249	1574	4723
250	1579	4714
251	1587	4713
252	1600	4725
253	1607	4721
254	1620	4733
255	1630	4737
256	1638	4738
257	1651	4750
258	1660	4750
259	1672	4760
260	1683	4766
261	1694	4771
262	1702	4771
263	1712	4774
264	1721	4776
265	1727	4765
266	1739	4775
267	1749	4779
268	1755	4769
269	1765	4773
270	1778	4785
271	1789	4788
272	1794	4778
273	1806	4786
274	1817	4790
275	1824	4785
276	1834	4788
277	1843	4788
278	1854	4793
279	1868	4805
280	1874	4797
281	1889	4809
282	1900	4813
283	1910	4817
284	1917	4811
285	1927	4812
286	1938	4816
287	1943	4805
288	1954	4807
289	1967	4816
290	1978	4819
291	1985	4813
292	1999	4824
293	2010	4827
294	2020	4828
295	2030	4828
296	2035	4817
297	2044	4816
298	2055	4818
299	2067	4823
300	2076	4821
301	2086	4823
302	2097	4825
303	2108	4826
304	2116	4822
305	2123	4816
306	2136	4823
307	2146	4823
308	2154	4818
309	2168	4825
310	2178	4826
311	2186	4820
312	2198	4825
313	2205	4817
314	2215	4817
315	2229	4825
316	2234	4814
317	2247	4819
318	2257	4818
319	2265	4814
320	2272	4807
321	2284	4810
322	2307	4837
323	2316	4832
324	2325	4830
325	2341	4841
326	2348	4833
327	2361	4837
328	2374	4843
329	2382	4837
330	2387	4825
331	2402	4833
332	2410	4827
333	2417	4821
334	2422	4809
335	2439	4821
336	2450	4821
337	2455	4810
338	2466	4808
339	2479	4812
340	2485	4803
341	2504	4818
342	2511	4811
343	2523	4812
344	2532	4808
345	2546	4812
346	2556	4811
347	2565	4806
348	2572	4798
349	2582	4796
350	2593	4794
351	2603	4792
352	2609	4782
353	2619	4780
354	2629	4778
355	2640	4776
356	2647	4768
357	2660	4770
358	2671	4770
359	2678	4761
360	2689	4760
361	2699	4758
362	2708	4753
363	2721	4755
364	2727	4744
365	2738	4744
366	2746	4737
367	2756	4733
368	2765	4728
369	2770	4717
370	2782	4717
371	2788	4708
372	2801	4709
373	2808	4700
374	2818	4697
375	2828	4694
376	2836	4688
377	2846	4684
378	2856	4681
379	2865	4674
380	2875	4671
381	2887	4670
382	2897	4668
383	2910	4669
384	2924	4671
385	2933	4666
386	2942	4660
387	2960	4668
388	2970	4665
389	2979	4660
390	2992	4660
391	3001	4654
392	3011	4651
393	3033	4666
394	3055	4679
395	3063	4672
396	3076	4672
397	3098	4686
398	3108	4681
399	3125	4687
400	3130	4676
401	3143	4675
402	3156	4676
403	3165	4670
404	3178	4669
405	3189	4666
406	3196	4657
407	3213	4662
408	3220	4653
409	3233	4652
410	3246	4652
411	3251	4641
412	3262	4636
413	3273	4633
414	3286	4632
415	3296	4627
416	3302	4617
417	3313	4613
418	3325	4610
419	3337	4608
420	3350	4607
421	3360	4602
